# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	2916838	810	-							FPZ22_RS13715	1377		pseudo;old_locus_tag=FPZ22_00005
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	2916838	810	-				TldD/PmbA family protein			FPZ22_RS13715	1377		pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	831	2420	-							FPZ22_RS00010	1590		pseudo;old_locus_tag=FPZ22_00010
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	831	2420	-				TldD/PmbA family protein			FPZ22_RS00010	1590		pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	2531	3983	-							FPZ22_RS00015	1453		partial;pseudo;old_locus_tag=FPZ22_00015
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	2531	3983	-				TldD/PmbA family protein			FPZ22_RS00015	1453		partial;pseudo
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	6487	7065	+							FPZ22_RS00020	579		old_locus_tag=FPZ22_00020
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	6487	7065	+	WP_144889165.1	WP_144889165.1		hypothetical protein			FPZ22_RS00020	579	192	
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	8005	8232	-							FPZ22_RS00025	228		old_locus_tag=FPZ22_00025
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	8005	8232	-	WP_144889167.1	WP_144889167.1		hypothetical protein			FPZ22_RS00025	228	75	
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	8925	11205	-							FPZ22_RS13820	2281		partial;pseudo
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	8925	11205	-				FdhF/YdeP family oxidoreductase			FPZ22_RS13820	2281		partial;pseudo
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	11756	11959	-							FPZ22_RS00050	204		old_locus_tag=FPZ22_00050
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	11756	11959	-	WP_144889177.1	WP_144889177.1		hypothetical protein			FPZ22_RS00050	204	67	
gene	tmRNA	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	13060	13412	-					ssrA		FPZ22_RS00060	353		old_locus_tag=FPZ22_00060
tmRNA		GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	13060	13412	-				transfer-messenger RNA	ssrA		FPZ22_RS00060	353		
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	14655	14975	+							FPZ22_RS00075	321		partial;pseudo;old_locus_tag=FPZ22_00075
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	14655	14975	+				PAS domain-containing protein			FPZ22_RS00075	321		partial;pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	15784	16282	-					smpB		FPZ22_RS00080	499		pseudo;old_locus_tag=FPZ22_00080
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	15784	16282	-				SsrA-binding protein SmpB	smpB		FPZ22_RS00080	499		pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	16444	16762	+							FPZ22_RS00085	319		pseudo;old_locus_tag=FPZ22_00085
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	16444	16762	+				type II toxin-antitoxin system RatA family toxin			FPZ22_RS00085	319		pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	16766	17022	+							FPZ22_RS13825	257		pseudo;old_locus_tag=FPZ22_00090
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	16766	17022	+				RnfH family protein			FPZ22_RS13825	257		pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	17035	17430	-					bamE		FPZ22_RS00095	396		partial;pseudo;old_locus_tag=FPZ22_00095
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	17035	17430	-				outer membrane protein assembly factor BamE	bamE		FPZ22_RS00095	396		partial;pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	17543	17948	+					fur		FPZ22_RS00100	406		pseudo;old_locus_tag=FPZ22_00100
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	17543	17948	+				ferric iron uptake transcriptional regulator	fur		FPZ22_RS00100	406		pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	17958	19636	-					recN		FPZ22_RS00105	1679		pseudo;old_locus_tag=FPZ22_00105
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	17958	19636	-				DNA repair protein RecN	recN		FPZ22_RS00105	1679		pseudo
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	19761	20834	+					hrcA		FPZ22_RS00110	1074		pseudo;old_locus_tag=FPZ22_00110
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	19761	20834	+				heat-inducible transcriptional repressor HrcA	hrcA		FPZ22_RS00110	1074		pseudo
gene	protein_coding	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	20831	21124	+							FPZ22_RS13830	294		
CDS	with_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	20831	21124	+	WP_246121115.1	WP_246121115.1		hypothetical protein			FPZ22_RS13830	294	97	
gene	pseudogene	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	21052	21343	+							FPZ22_RS13835	292		pseudo
CDS	without_protein	GCF_007795095.1	Primary Assembly	chromosome		NZ_CP042218.1	21052	21343	+				nucleotide exchange factor GrpE			FPZ22_RS13835	292		pseudo
